Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC,CL=F,DX-Y.NYB,GC=F,NQ=F,ZN=F,^DJI,^GSPC
count,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0,24739.0,26818.0,27270.0,27099.0,25756.0,7755.0,7757.0
mean,70.2341323436822,104.1357651738319,2730.0976235099097,20541.83501236208,110.94656159237576,42807.28331570358,5843.054416260616,70.2341323436822,104.1357651738319,2730.0976235099097,20541.83501236208,110.94656159237576,42807.28331570358,5843.054416260616,70.25561018470823,104.14006315048255,2730.4820130043604,20545.012196021995,110.95491104907993,42813.67864331479,5843.837758121193,70.21273615836442,104.13143475219809,2729.7103341763213,20538.514917524633,110.93852811067774,42800.65443111299,5842.247395875298,70.2341577958654,104.13572438908811,2730.0985217987945,20541.824200299136,110.94659121655995,42807.23702752257,5843.055826906846,202.1711063502971,0.0,143.3862119545288,364.50846894719365,1656.6719211057618,707777.5292069633,5264926.540157277
std,1.3800777019623816,0.5591425272466398,39.52080722649812,327.44325090735174,0.8596311771363534,694.5980310463622,76.55247100977313,1.3800777019623816,0.5591425272466398,39.52080722649812,327.44325090735174,0.8596311771363534,694.5980310463622,76.55247100977313,1.3798532359441216,0.5600051374550513,39.49253370243066,327.16670226068396,0.8585464305139333,694.5331340136063,76.46248654648775,1.380269533370312,0.5582514636543131,39.54723440609125,327.6781927568834,0.8608542062574196,694.5333122148265,76.60808570305336,1.380093357810487,0.5591048239221746,39.51771386462471,327.4194474123842,0.8596532929308868,694.4182523645836,76.53701509807263,456.02996120838316,0.0,353.7325001585287,597.3505198339451,3577.818498566827,733019.1387590875,4774402.665442085
min,66.75,103.03500366210938,2617.199951171875,20012.75,109.234375,41652.1015625,5696.91015625,66.75,103.03500366210938,2617.199951171875,20012.75,109.234375,41652.1015625,5696.91015625,66.79000091552734,103.03900146484375,2617.699951171875,20022.25,109.25,41661.55859375,5698.31005859375,66.72000122070312,103.03099822998047,2617.10009765625,20008.5,109.21875,41647.30078125,5696.509765625,66.75,103.03600311279297,2617.199951171875,20011.25,109.234375,41650.3515625,5696.830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,69.23999786376953,103.73999786376953,2697.300048828125,20347.75,110.34375,42284.4453125,5806.0400390625,69.23999786376953,103.73999786376953,2697.300048828125,20347.75,110.34375,42284.4453125,5806.0400390625,69.26000213623047,103.74400329589844,2697.699951171875,20351.75,110.359375,42289.689453125,5806.64013671875,69.20999908447266,103.73699951171875,2696.800048828125,20343.75,110.34375,42278.365234375,5805.259765625,69.23999786376953,103.73999786376953,2697.300048828125,20347.75,110.34375,42284.35546875,5806.0498046875,21.0,0.0,34.0,49.0,76.0,398786.0,3256000.0
50%,70.55999755859375,104.08499908447266,2743.39990234375,20473.5,110.78125,42736.91015625,5836.85009765625,70.55999755859375,104.08499908447266,2743.39990234375,20473.5,110.78125,42736.91015625,5836.85009765625,70.58000183105469,104.08799743652344,2743.699951171875,20476.5,110.78125,42745.921875,5837.6298828125,70.54000091552734,104.08200073242188,2743.0,20470.5,110.765625,42730.359375,5836.169921875,70.55999755859375,104.08499908447266,2743.300048828125,20473.75,110.78125,42737.94921875,5836.81982421875,74.0,0.0,74.0,112.0,565.0,537987.0,4145709.0
75%,71.20999908447266,104.39099884033203,2753.800048828125,20652.25,111.42578125,43234.75,5861.75,71.20999908447266,104.39099884033203,2753.800048828125,20652.25,111.42578125,43234.75,5861.75,71.2300033569336,104.39474678039551,2754.199951171875,20656.5,111.4375,43239.505859375,5862.41015625,71.18000030517578,104.38700103759766,2753.39990234375,20648.0,111.421875,43229.984375,5861.10009765625,71.20999908447266,104.39099884033203,2753.800048828125,20652.25,111.4375,43234.490234375,5861.75,222.0,0.0,160.0,452.0,2117.25,768366.5,5698000.0
90%,71.80999755859375,105.00800323486328,2772.539990234376,21194.0,112.25,43796.28046875,5981.3779296875,71.80999755859375,105.00800323486328,2772.539990234376,21194.0,112.25,43796.28046875,5981.3779296875,71.83000183105469,105.01300048828125,2773.4199218750005,21198.5,112.25,43804.3375,5982.11787109375,71.80000305175781,105.00229873657227,2772.0,21189.5,112.234375,43786.9046875,5980.39814453125,71.80999755859375,105.00700378417969,2772.539990234376,21194.0,112.25,43794.42734375,5981.3740234375,496.0,0.0,315.0,1014.0,4436.0,1167672.4000000004,8113874.800000001
95%,72.05999755859375,105.23899841308594,2792.300048828125,21232.75,112.453125,44154.5671875,5999.169921875,72.05999755859375,105.23899841308594,2792.300048828125,21232.75,112.453125,44154.5671875,5999.169921875,72.08000183105469,105.24800109863281,2792.60009765625,21235.0,112.453125,44157.1578125,5999.5080078125,72.04000091552734,105.2300033569336,2792.0,21231.0,112.4375,44143.696874999994,5998.6041015625,72.06999969482422,105.23914833068848,2792.300048828125,21232.75,112.453125,44153.8078125,5999.1220703125,782.0999999999985,0.0,468.0,1473.0999999999985,6247.5,1607165.0999999999,10929699.4
99%,72.37999725341797,105.57883247375489,2798.4309326171874,21296.755,112.59375,44377.242578125,6009.94875,72.37999725341797,105.57883247375489,2798.4309326171874,21296.755,112.59375,44377.242578125,6009.94875,72.41000366210938,105.58200073242188,2798.7309814453124,21298.255,112.59375,44384.601484375,6010.54310546875,72.35619979858397,105.5739974975586,2798.199951171875,21295.5,112.578125,44368.419140625,6009.27431640625,72.37999725341797,105.5780029296875,2798.5,21297.0,112.59375,44378.623046875,6009.864375,1785.619999999999,0.0,1025.0,2736.0600000000013,12217.700000000004,3272626.740000001,23514439.999999728
max,72.8499984741211,105.70500183105469,2801.39990234375,21335.75,112.6875,44484.328125,6016.56005859375,72.8499984741211,105.70500183105469,2801.39990234375,21335.75,112.6875,44484.328125,6016.56005859375,72.87999725341797,105.70500183105469,2801.800048828125,21340.75,112.6875,44486.69921875,6017.31005859375,72.77999877929688,105.67500305175781,2801.300048828125,21333.75,112.671875,44472.890625,6015.22998046875,72.86000061035156,105.7040023803711,2801.5,21335.0,112.6875,44486.69921875,6016.68017578125,18662.0,0.0,33040.0,12314.0,223117.0,22718885.0,91131000.0
